Date,tlref_close,tlref_ret,tlref_vol20,regime
2020-06-16,1149.5816,0.00021325347276457407,0.0002637628835902198,DUSUK
2020-06-17,1149.8337,0.00021929717733826237,0.00024761704532540873,DUSUK
2020-06-18,1150.0927,0.00022524996440798084,0.0002473449777768427,DUSUK
2020-06-19,1150.8712,0.0006769019575554314,0.0002574748117749663,DUSUK
2020-06-22,1151.1257,0.00022113682226132525,0.0002581347490570185,DUSUK
2020-06-23,1151.3803,0.00022117480306449444,0.00018713704561113413,DUSUK
2020-06-24,1151.6407,0.00022616332761637992,0.00018665503097492202,DUSUK
2020-06-25,1151.9127,0.00023618477533848825,0.0001858603161432488,DUSUK
2020-06-26,1152.6576,0.0006466635883082272,0.0001798098646191075,DUSUK
2020-06-29,1152.9092,0.00021827817731834287,0.00018029512774773063,DUSUK
2020-06-30,1153.1574,0.00021528148096994215,0.00018053878120328947,DUSUK
2020-07-01,1153.4016,0.00021176640760400822,0.00018089564910353818,DUSUK
2020-07-02,1153.6405,0.00020712646835252535,0.00018147878233441798,DUSUK
2020-07-03,1154.3656,0.000628532025358064,0.00017691423959752224,DUSUK
2020-07-06,1154.6116,0.00021310406339192234,0.00017720519405940016,DUSUK
2020-07-07,1154.8752,0.00022830188090949832,0.00017685281990488278,DUSUK
2020-07-08,1155.1253,0.0002165601962877961,0.00017685329315418713,DUSUK
2020-07-09,1155.3822,0.0002224001153814381,0.0001768737778905108,DUSUK
2020-07-10,1156.1571,0.0006706871544324144,0.00017960573740292377,DUSUK
2020-07-13,1156.4084,0.00021735800437516772,0.0001793277015111073,DUSUK
2020-07-14,1156.8994,0.000424590482047682,0.00017975315860750864,DUSUK
2020-07-16,1157.1547,0.00022067605878262064,0.00017971383621566417,DUSUK
2020-07-17,1157.9633,0.0006987829717148841,0.00019726916411850633,DUSUK
2020-07-20,1158.2277,0.00022833193418136943,0.00018198691380567515,DUSUK
2020-07-21,1158.4989,0.00023415084961286858,0.00018164282279293324,DUSUK
2020-07-22,1158.7742,0.0002376350983155362,0.00018121157339192598,DUSUK
2020-07-23,1159.0505,0.0002384416221901109,0.00018089700481046465,DUSUK
2020-07-24,1159.8461,0.0006864239306223485,0.0001971090780899024,DUSUK
2020-07-27,1160.1045,0.0002227881785350494,0.00018519682739008333,DUSUK
2020-07-28,1160.375,0.00023316864989331165,0.00018478712165544814,DUSUK
2020-07-29,1160.6628,0.0002480232683399475,0.0001839274314108753,DUSUK
2020-07-30,1162.0321,0.0011797569457725476,0.0002630562655095327,DUSUK
2020-08-04,1162.2807,0.00021393557028259735,0.00026283481659786163,DUSUK
2020-08-05,1162.5817,0.00025897358529647363,0.0002568608329560533,DUSUK
2020-08-06,1162.8883,0.0002637234011166889,0.00025563862452513656,DUSUK
2020-08-07,1163.8198,0.000801022763751158,0.000271990114305975,DUSUK
2020-08-10,1164.1305,0.00026696572785578354,0.00027056850952557126,DUSUK
2020-08-11,1164.4414,0.00026706627822226103,0.00026930768323728694,DUSUK
2020-08-12,1164.7523,0.0002669949728686394,0.00026224809879196704,DUSUK
2020-08-13,1165.0634,0.000267095415909413,0.00026095265804280645,DUSUK
2020-08-14,1165.9968,0.0008011581172320259,0.00027791060945359553,DUSUK
2020-08-17,1166.3082,0.00026706762831607556,0.0002765980445345821,DUSUK
2020-08-18,1166.6197,0.0002670820628716264,0.0002682874890851239,DUSUK
2020-08-19,1166.9313,0.00026709646682632204,0.0002673295276161295,DUSUK
2020-08-20,1167.243,0.0002671108402010347,0.00026651961431442664,DUSUK
2020-08-21,1168.1781,0.0008011185331591175,0.0002805296110748464,DUSUK
2020-08-24,1168.4991,0.0002747868668313558,0.0002795148594325626,DUSUK
2020-08-25,1168.8139,0.00026940542786912935,0.00027297816880458533,DUSUK
2020-08-26,1169.1262,0.0002671939476419638,0.0002717654033158971,DUSUK
2020-08-27,1169.4385,0.0002671225741071037,0.00027085550878703135,DUSUK
2020-08-28,1170.3776,0.0008030349607952569,0.0002837614047852106,DUSUK
2020-08-31,1170.6907,0.0002675204993671798,0.000221076153392341,DUSUK
2020-09-01,1171.0032,0.00026693643333808303,0.000219402197520384,DUSUK
2020-09-02,1171.3161,0.0002672067847464543,0.00021918278133601946,DUSUK
2020-09-03,1171.629,0.00026713540435396865,0.00021909346517313264,DUSUK
2020-09-04,1172.5727,0.0008054597487772153,0.00021954984829914142,DUSUK
2020-09-07,1172.8898,0.00027043099331924836,0.0002194616787349986,DUSUK
2020-09-08,1173.2099,0.00027291566522280597,0.0002193142552352377,DUSUK
2020-09-09,1173.5347,0.0002768473058401,0.00021906935988320024,DUSUK
2020-09-10,1173.8648,0.0002812869529977835,0.00021872182422241827,DUSUK
2020-09-11,1174.8748,0.0008604057298591261,0.0002250862473671539,DUSUK
2020-09-14,1175.2118,0.0002868390742571947,0.00022461002758279226,DUSUK
2020-09-15,1175.5513,0.0002888840973176432,0.00022408367605359592,DUSUK
2020-09-16,1175.8943,0.00029177799386537195,0.0002234880084790765,DUSUK
2020-09-17,1176.2567,0.00030819096580358973,0.00022255687097583887,DUSUK
