outlier_rank,symbol,event_date,excess_bps,liquidity,row_date,Open,High,Low,Close,Volume,pct_change,flags
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-15,2.32937088,2.32937088,1.9436471,1.9436471,16958.11958309,-8.49057462341002,BUYUK_TEK_GUN_HAREKETI(>%15)
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-18,1.74828071,1.74828071,1.57295152,1.57295152,389.26819526,-19.072164900716803,BUYUK_TEK_GUN_HAREKETI(>%15)
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,-19.42675130890239,BUYUK_TEK_GUN_HAREKETI(>%15)
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-12,1.31246273,1.44771653,1.31246273,1.44771653,1996.24715516,,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-13,1.59298912,1.75328991,1.59298912,1.75328991,1497.18536637,21.107266075078932,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-14,1.9286189,2.12398569,1.9286189,2.12398569,35163.89363815,21.142868494577716,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-15,2.32937088,2.32937088,1.9436471,1.9436471,16958.11958309,-8.49057462341002,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-18,1.74828071,1.74828071,1.57295152,1.57295152,389.26819526,-19.072164900716803,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,-19.42675130890239,BUYUK_TEK_GUN_HAREKETI(>%15)
17,AYES,2013-02-15,-6262.9665013145195,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-06,3.42021,3.459373,3.250505,3.394101,279378.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-07,3.394101,3.407155,3.133017,3.133017,349171.0,-7.69228729492728,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-10,3.106908,3.106908,2.754444,2.871932,988965.0,-8.33334131286233,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-11,2.891513,2.891513,2.689173,2.741389,1500932.0,-4.545476703487417,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-12,2.715281,2.715281,2.330181,2.330181,1229249.0,-14.999987232749524,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-13,2.153949,2.21922,1.918973,1.918973,2177279.0,-17.647041152597154,BUYUK_TEK_GUN_HAREKETI(>%15)
18,IHLGM,2014-03-11,-6246.685221005561,mid,2014-03-14,1.821066,1.827593,1.58609,1.58609,918068.0,-17.346935053281108,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-04-25,1.2520051,1.28559541,1.14817987,1.22146839,6594712.27859801,,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-04-26,1.22146839,1.27032671,1.14817987,1.22452199,3418365.36962431,0.24999418937070583,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-04-29,1.22452199,1.2306292,1.03214093,1.03214093,3486087.79009003,-15.710706836714305,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-04-30,1.03824813,1.09321435,0.89167179,0.9374772,3625534.49621592,-9.17158958127936,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-05-02,0.93442291,0.94969161,0.77257855,0.77257855,1462129.94744561,-17.58961711282152,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-05-03,0.69318352,0.69623712,0.6229486,0.6229486,441982.48742553,-19.367603462456994,BUYUK_TEK_GUN_HAREKETI(>%15)
19,DENGE,2013-04-30,-6201.150907565356,illiquid,2013-05-06,0.55882158,0.68707563,0.54966078,0.54966078,1831471.90213633,-11.764665656203421,BUYUK_TEK_GUN_HAREKETI(>%15)
20,OZGYO,2018-12-10,-6197.948863087359,mid,2018-12-05,2.57499776,2.6474977,2.50249782,2.60749773,588500.51199545,,BUYUK_TEK_GUN_HAREKETI(>%15)
20,OZGYO,2018-12-10,-6197.948863087359,mid,2018-12-06,2.61749772,2.70499765,2.59999774,2.68499766,964540.83915053,2.972195492572882,BUYUK_TEK_GUN_HAREKETI(>%15)
20,OZGYO,2018-12-10,-6197.948863087359,mid,2018-12-07,2.67499767,2.86249751,2.14999813,2.14999813,1286589.11933253,-19.925511964878208,BUYUK_TEK_GUN_HAREKETI(>%15)
20,OZGYO,2018-12-10,-6197.948863087359,mid,2018-12-10,1.81499842,1.99499826,1.7199985,1.7199985,1749505.5220698,-20.000000186046684,BUYUK_TEK_GUN_HAREKETI(>%15)
20,OZGYO,2018-12-10,-6197.948863087359,mid,2018-12-11,1.57749863,1.57999863,1.3774988,1.3774988,2174389.89171921,-19.912790621619735,BUYUK_TEK_GUN_HAREKETI(>%15)
